1804.2354 	EXP 	unnamed TextStim: text = 'trial 80 / 144'
1806.2450 	EXP 	Sound  started
1822.8344 	DATA 	Keypress: 2
1822.8425 	EXP 	unnamed TextStim: text = 'trial 81 / 144'
1824.8522 	EXP 	Sound  started
1842.4169 	DATA 	Keypress: 1
1842.4250 	EXP 	unnamed TextStim: text = 'trial 82 / 144'
1844.4347 	EXP 	Sound  started
1861.3991 	DATA 	Keypress: 3
1861.4073 	EXP 	unnamed TextStim: text = 'trial 83 / 144'
1863.4169 	EXP 	Sound  started
1880.6565 	DATA 	Keypress: 2
1880.6647 	EXP 	unnamed TextStim: text = 'trial 84 / 144'
1882.6743 	EXP 	Sound  started
1898.8801 	DATA 	Keypress: 2
1898.8886 	EXP 	unnamed TextStim: text = 'trial 85 / 144'
1900.8980 	EXP 	Sound  started
1917.3790 	DATA 	Keypress: 1
1917.3872 	EXP 	unnamed TextStim: text = 'trial 86 / 144'
1919.3969 	EXP 	Sound  started
1935.4945 	DATA 	Keypress: 2
1936.1446 	DATA 	Keypress: 2
1936.1527 	EXP 	unnamed TextStim: text = 'trial 87 / 144'
1938.1625 	EXP 	Sound  started
1955.3019 	DATA 	Keypress: 2
1955.3101 	EXP 	unnamed TextStim: text = 'trial 88 / 144'
1957.3196 	EXP 	Sound  started
1974.9678 	DATA 	Keypress: 2
1974.9760 	EXP 	unnamed TextStim: text = 'trial 89 / 144'
1976.9857 	EXP 	Sound  started
1992.7998 	DATA 	Keypress: 3
1993.9250 	DATA 	Keypress: 3
1993.9332 	EXP 	unnamed TextStim: text = 'trial 90 / 144'
1995.9423 	EXP 	Sound  started
2011.7654 	DATA 	Keypress: 3
2013.6243 	DATA 	Keypress: 3
2013.6325 	EXP 	unnamed TextStim: text = 'trial 91 / 144'
2015.6422 	EXP 	Sound  started
2031.7979 	DATA 	Keypress: 3
2031.8062 	EXP 	unnamed TextStim: text = 'trial 92 / 144'
2033.8158 	EXP 	Sound  started
2050.4718 	DATA 	Keypress: 3
2050.4799 	EXP 	unnamed TextStim: text = 'trial 93 / 144'
2052.4896 	EXP 	Sound  started
2069.2456 	DATA 	Keypress: 1
2069.2539 	EXP 	unnamed TextStim: text = 'trial 94 / 144'
2071.2635 	EXP 	Sound  started
2088.4697 	DATA 	Keypress: 3
2088.4780 	EXP 	unnamed TextStim: text = 'trial 95 / 144'
2090.4876 	EXP 	Sound  started
2107.8187 	DATA 	Keypress: 2
2107.8269 	EXP 	unnamed TextStim: text = 'trial 96 / 144'
2109.8359 	EXP 	Sound  started
2125.4257 	DATA 	Keypress: 2
2126.5676 	DATA 	Keypress: 2
2216.4724 	DATA 	Keypress: space
2216.4773 	EXP 	unnamed TextStim: text = 'trial 97 / 144'
2218.4870 	EXP 	Sound  started
2228.6917 	DATA 	Keypress: 4
2229.2238 	DATA 	Keypress: 4
2229.8824 	DATA 	Keypress: 4
2230.5743 	DATA 	Keypress: 4
2231.2329 	DATA 	Keypress: 4
2231.8998 	DATA 	Keypress: 4
2232.5667 	DATA 	Keypress: 4
2233.2920 	DATA 	Keypress: 4
2235.4760 	DATA 	Keypress: 2
2235.4842 	EXP 	unnamed TextStim: text = 'trial 98 / 144'
2237.4939 	EXP 	Sound  started
2248.2144 	DATA 	Keypress: 4
2248.8563 	DATA 	Keypress: 4
2249.5065 	DATA 	Keypress: 4
2250.1818 	DATA 	Keypress: 4
2250.8404 	DATA 	Keypress: 4
2251.4990 	DATA 	Keypress: 4
2252.1659 	DATA 	Keypress: 4
2254.1832 	DATA 	Keypress: 1
2254.1914 	EXP 	unnamed TextStim: text = 'trial 99 / 144'
2256.2009 	EXP 	Sound  started
2263.7370 	DATA 	Keypress: 4
2264.3622 	DATA 	Keypress: 4
2266.3381 	DATA 	Keypress: 4
2266.9132 	DATA 	Keypress: 4
2267.5551 	DATA 	Keypress: 4
2268.2387 	DATA 	Keypress: 4
2268.8973 	DATA 	Keypress: 4
2269.6143 	DATA 	Keypress: 4
2270.2729 	DATA 	Keypress: 4
2270.9315 	DATA 	Keypress: 4
2272.6319 	DATA 	Keypress: 3
2272.6401 	EXP 	unnamed TextStim: text = 'trial 100 / 144'
2274.6497 	EXP 	Sound  started
2284.6701 	DATA 	Keypress: 4
2285.3287 	DATA 	Keypress: 4
2285.9457 	DATA 	Keypress: 4
2286.6042 	DATA 	Keypress: 4
2287.2628 	DATA 	Keypress: 4
2287.8964 	DATA 	Keypress: 4
2288.5466 	DATA 	Keypress: 4
2289.2053 	DATA 	Keypress: 4
2289.8555 	DATA 	Keypress: 4
2291.0891 	DATA 	Keypress: 2
2291.0973 	EXP 	unnamed TextStim: text = 'trial 101 / 144'
2293.1069 	EXP 	Sound  started
2300.6262 	DATA 	Keypress: 4
2303.1106 	DATA 	Keypress: 4
2303.8608 	DATA 	Keypress: 4
2304.6444 	DATA 	Keypress: 4
2305.3364 	DATA 	Keypress: 4
2306.0283 	DATA 	Keypress: 4
2306.7703 	DATA 	Keypress: 4
2307.4956 	DATA 	Keypress: 4
2309.6045 	DATA 	Keypress: 1
2309.6127 	EXP 	unnamed TextStim: text = 'trial 102 / 144'
2311.6224 	EXP 	Sound  started
2319.1583 	DATA 	Keypress: 4
2319.8669 	DATA 	Keypress: 4
2321.6343 	DATA 	Keypress: 4
2322.3179 	DATA 	Keypress: 4
2322.9851 	DATA 	Keypress: 4
2323.6768 	DATA 	Keypress: 4
2324.3604 	DATA 	Keypress: 4
2325.0523 	DATA 	Keypress: 4
2325.6942 	DATA 	Keypress: 4
2326.3612 	DATA 	Keypress: 4
2327.6533 	DATA 	Keypress: 2
2329.3121 	DATA 	Keypress: 2
2329.3203 	EXP 	unnamed TextStim: text = 'trial 103 / 144'
2331.3300 	EXP 	Sound  started
2341.3253 	DATA 	Keypress: 4
2342.0505 	DATA 	Keypress: 4
2342.7257 	DATA 	Keypress: 4
2343.4260 	DATA 	Keypress: 4
2344.1346 	DATA 	Keypress: 4
2344.8516 	DATA 	Keypress: 4
2345.5435 	DATA 	Keypress: 4
2346.2188 	DATA 	Keypress: 4
2349.4365 	DATA 	Keypress: 3
2349.4447 	EXP 	unnamed TextStim: text = 'trial 104 / 144'
2351.4543 	EXP 	Sound  started
2362.1249 	DATA 	Keypress: 4
2362.7584 	DATA 	Keypress: 4
2363.4337 	DATA 	Keypress: 4
2364.1006 	DATA 	Keypress: 4
2364.8176 	DATA 	Keypress: 4
2365.4595 	DATA 	Keypress: 4
2366.1347 	DATA 	Keypress: 4
2366.8100 	DATA 	Keypress: 4
2368.5358 	DATA 	Keypress: 1
2368.5520 	EXP 	unnamed TextStim: text = 'trial 105 / 144'
2370.5617 	EXP 	Sound  started
2380.6403 	DATA 	Keypress: 4
2381.2989 	DATA 	Keypress: 4
2381.9575 	DATA 	Keypress: 4
2382.6411 	DATA 	Keypress: 4
2383.3080 	DATA 	Keypress: 4
2383.9916 	DATA 	Keypress: 4
2384.6668 	DATA 	Keypress: 4
2385.3588 	DATA 	Keypress: 4
2388.3764 	DATA 	Keypress: 3
2388.3846 	EXP 	unnamed TextStim: text = 'trial 106 / 144'
2390.3942 	EXP 	Sound  started
2401.4483 	DATA 	Keypress: 4
2402.1652 	DATA 	Keypress: 4
2402.8488 	DATA 	Keypress: 4
2403.4991 	DATA 	Keypress: 4
2404.1826 	DATA 	Keypress: 4
2404.8413 	DATA 	Keypress: 4
2405.5082 	DATA 	Keypress: 4
2407.0336 	DATA 	Keypress: 2
2407.0418 	EXP 	unnamed TextStim: text = 'trial 107 / 144'
2409.0515 	EXP 	Sound  started
2419.7971 	DATA 	Keypress: 4
2420.4389 	DATA 	Keypress: 4
2421.1226 	DATA 	Keypress: 4
2421.8145 	DATA 	Keypress: 4
2422.4564 	DATA 	Keypress: 4
2423.1068 	DATA 	Keypress: 4
2423.7402 	DATA 	Keypress: 4
2424.3988 	DATA 	Keypress: 4
2425.7492 	DATA 	Keypress: 1
2425.7573 	EXP 	unnamed TextStim: text = 'trial 108 / 144'
2427.7671 	EXP 	Sound  started
2438.5794 	DATA 	Keypress: 4
2439.2629 	DATA 	Keypress: 4
2439.9215 	DATA 	Keypress: 4
2440.6134 	DATA 	Keypress: 4
2441.3053 	DATA 	Keypress: 4
2441.9639 	DATA 	Keypress: 4
2442.6141 	DATA 	Keypress: 4
2444.3730 	DATA 	Keypress: 2
2444.3812 	EXP 	unnamed TextStim: text = 'trial 109 / 144'
2446.3909 	EXP 	Sound  started
2456.4278 	DATA 	Keypress: 4
2457.0364 	DATA 	Keypress: 4
2457.8033 	DATA 	Keypress: 4
2458.5036 	DATA 	Keypress: 4
2459.2039 	DATA 	Keypress: 4
2459.9542 	DATA 	Keypress: 4
2460.7128 	DATA 	Keypress: 4
2461.4547 	DATA 	Keypress: 4
2462.9885 	DATA 	Keypress: 2
2462.9967 	EXP 	unnamed TextStim: text = 'trial 110 / 144'
2465.0064 	EXP 	Sound  started
2476.3021 	DATA 	Keypress: 4
2476.9190 	DATA 	Keypress: 4
2477.5276 	DATA 	Keypress: 4
2478.1612 	DATA 	Keypress: 4
2478.8198 	DATA 	Keypress: 4
2479.4284 	DATA 	Keypress: 4
2480.0619 	DATA 	Keypress: 4
2481.5874 	DATA 	Keypress: 2
2481.5955 	EXP 	unnamed TextStim: text = 'trial 111 / 144'
2483.6053 	EXP 	Sound  started
2494.1673 	DATA 	Keypress: 4
2494.8092 	DATA 	Keypress: 4
2495.4345 	DATA 	Keypress: 4
2496.0931 	DATA 	Keypress: 4
2496.7684 	DATA 	Keypress: 4
2497.4186 	DATA 	Keypress: 4
2498.0773 	DATA 	Keypress: 4
2498.7358 	DATA 	Keypress: 4
2500.3362 	DATA 	Keypress: 2
2500.3444 	EXP 	unnamed TextStim: text = 'trial 112 / 144'
2502.3537 	EXP 	Sound  started
2512.3660 	DATA 	Keypress: 4
2513.0996 	DATA 	Keypress: 4
2513.7332 	DATA 	Keypress: 4
2514.5002 	DATA 	Keypress: 4
2515.2171 	DATA 	Keypress: 4
2515.9340 	DATA 	Keypress: 4
2516.6093 	DATA 	Keypress: 4
2517.2929 	DATA 	Keypress: 4
2518.9853 	DATA 	Keypress: 1
2519.0016 	EXP 	unnamed TextStim: text = 'trial 113 / 144'
2521.0113 	EXP 	Sound  started
2532.1486 	DATA 	Keypress: 4
2532.8906 	DATA 	Keypress: 4
2533.5658 	DATA 	Keypress: 4
2534.2828 	DATA 	Keypress: 4
2534.9664 	DATA 	Keypress: 4
2535.5833 	DATA 	Keypress: 4
2537.6006 	DATA 	Keypress: 2
2537.6088 	EXP 	unnamed TextStim: text = 'trial 114 / 144'
2539.6176 	EXP 	Sound  started
2549.7138 	DATA 	Keypress: 4
2550.3389 	DATA 	Keypress: 4
2550.9226 	DATA 	Keypress: 4
2551.5477 	DATA 	Keypress: 4
2552.1646 	DATA 	Keypress: 4
2552.8152 	DATA 	Keypress: 4
2553.4568 	DATA 	Keypress: 4
2554.1154 	DATA 	Keypress: 4
2554.7489 	DATA 	Keypress: 4
2556.3077 	DATA 	Keypress: 2
2556.3159 	EXP 	unnamed TextStim: text = 'trial 115 / 144'
2558.3250 	EXP 	Sound  started
2568.9962 	DATA 	Keypress: 4
2569.6547 	DATA 	Keypress: 4
2570.3216 	DATA 	Keypress: 4
2570.9887 	DATA 	Keypress: 4
2571.6638 	DATA 	Keypress: 4
2572.3308 	DATA 	Keypress: 4
2573.0060 	DATA 	Keypress: 4
2573.7146 	DATA 	Keypress: 4
2575.6902 	DATA 	Keypress: 3
2575.6984 	EXP 	unnamed TextStim: text = 'trial 116 / 144'
2577.7081 	EXP 	Sound  started
2589.8375 	DATA 	Keypress: 4
2590.4878 	DATA 	Keypress: 4
2591.1380 	DATA 	Keypress: 4
2591.7966 	DATA 	Keypress: 4
2592.4969 	DATA 	Keypress: 4
2594.4141 	DATA 	Keypress: 3
2594.4223 	EXP 	unnamed TextStim: text = 'trial 117 / 144'
2596.4320 	EXP 	Sound  started
2606.4439 	DATA 	Keypress: 4
2607.1191 	DATA 	Keypress: 4
2607.7444 	DATA 	Keypress: 4
2608.4197 	DATA 	Keypress: 4
2609.1283 	DATA 	Keypress: 4
2609.8536 	DATA 	Keypress: 4
2610.5621 	DATA 	Keypress: 4
2611.2291 	DATA 	Keypress: 4
