subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,accuracy,trigger
pilot1,101,5,105,LOW RHYTHM 1 MH,low,medium,Anticipated,block1,2615.827793121338,2,16.622621059417725,0,5
pilot1,60,12,152,MEDIUM RHYTHM 3 HH,medium,high,Anticipated,block1,2634.468304157257,2,16.43096685409546,0,12
pilot1,16,16,171,HIGH RHYTHM 2 HH,high,high,Anticipated,block1,2652.917069196701,3,17.31454610824585,0,16
pilot1,85,5,305,LOW RHYTHM 1 MH,low,medium,Delayed,block1,2745.369737148285,1,17.105742931365967,0,205
pilot1,119,7,224,LOW RHYTHM 3 MH,low,medium,OnTime,block1,2764.4934191703796,1,17.03938102722168,0,107
pilot1,72,8,226,LOW RHYTHM 3 HH,low,high,OnTime,block1,2783.5507361888885,3,16.514461040496826,0,108
pilot1,86,6,307,LOW RHYTHM 1 HH,low,high,Delayed,block1,2802.0828461647034,3,17.047866821289062,1,206
pilot1,98,2,198,METRONOME 1 HH,iso,high,Anticipated,block1,2821.1485052108765,2,17.014432907104492,0,2
pilot1,92,12,352,MEDIUM RHYTHM 3 HH,medium,high,Delayed,block1,2840.180826187134,1,17.056092023849487,0,212
pilot1,135,7,324,LOW RHYTHM 3 MH,low,medium,Delayed,block1,2859.2548241615295,2,16.581010103225708,0,207
pilot1,73,9,233,MEDIUM RHYTHM 1 MH,medium,medium,OnTime,block1,2877.8536491394043,3,16.43922710418701,0,109
pilot1,13,13,159,HIGH RHYTHM 1 MH,high,medium,Anticipated,block1,2896.3107192516327,2,16.622523069381714,0,13
pilot1,143,15,369,HIGH RHYTHM 2 MH,high,medium,Delayed,block1,2914.9512960910797,2,16.480828046798706,0,215
pilot1,120,8,226,LOW RHYTHM 3 HH,low,high,OnTime,block1,2933.4499912261963,1,16.656244039535522,0,108
pilot1,55,7,124,LOW RHYTHM 3 MH,low,medium,Anticipated,block1,2952.1238391399384,3,16.455875873565674,0,7
pilot1,117,5,205,LOW RHYTHM 1 MH,low,medium,OnTime,block1,2970.597626209259,2,17.69800305366516,1,105
pilot1,42,10,335,MEDIUM RHYTHM 1 HH,medium,high,Delayed,block1,2990.31356716156,3,16.664258003234863,1,210
pilot1,8,8,126,LOW RHYTHM 3 HH,low,high,Anticipated,block1,3008.99569606781,1,17.431229829788208,1,8
pilot1,21,5,205,LOW RHYTHM 1 MH,low,medium,OnTime,block1,3028.444836139679,2,16.681003093719482,1,105
pilot1,26,10,235,MEDIUM RHYTHM 1 HH,medium,high,OnTime,block1,3047.143716096878,2,17.02279806137085,1,110
pilot1,129,1,395,METRONOME 1 MH,iso,medium,Delayed,block1,3066.1842651367188,3,16.430885076522827,1,201
pilot1,27,11,250,MEDIUM RHYTHM 3 MH,medium,medium,OnTime,block1,3084.633096218109,2,17.314563989639282,1,111
pilot1,29,13,259,HIGH RHYTHM 1 MH,high,medium,OnTime,block1,3103.9655191898346,3,16.305851221084595,0,113
pilot1,95,15,369,HIGH RHYTHM 2 MH,high,medium,Delayed,block1,3122.289255142212,2,16.80660104751587,0,215
pilot1,142,14,361,HIGH RHYTHM 1 HH,high,high,Delayed,block1,3141.121468067169,3,16.355907917022705,1,214
pilot1,12,12,152,MEDIUM RHYTHM 3 HH,medium,high,Anticipated,block1,3159.495199203491,2,16.68098783493042,0,12
pilot1,74,10,235,MEDIUM RHYTHM 1 HH,medium,high,OnTime,block1,3178.1940512657166,2,16.839403867721558,1,110
